table1,attribute1,table2,attribute2
institutions,country_id,countries,unics_id
institutions,nuts3_code,eu_territorial_units,nuts_code
erc_panels,part_of,erc_research_domains,code
programmes,parent,programmes,code
project_erc_panels,panel,erc_panels,code
project_erc_panels,project,projects,unics_id
project_members,activity_type,activity_types,code
project_members,institution_id,institutions,unics_id
project_members,member_role,project_member_roles,code
project_members,nuts3_code,eu_territorial_units,nuts_code
project_members,project,projects,unics_id
project_programmes,programme,programmes,code
project_programmes,project,projects,unics_id
project_subject_areas,project,projects,unics_id
project_subject_areas,subject_area,subject_areas,code
project_topics,project,projects,unics_id
project_topics,topic,topics,code
projects,ec_fund_scheme,funding_schemes,code
projects,framework_program,ec_framework_programs,name
projects,principal_investigator,people,unics_id
