schema,table
unics_common,countries
unics_common,institutions
unics_cordis,activity_types
unics_cordis,ec_framework_programs
unics_cordis,erc_calls
unics_cordis,erc_grants
unics_cordis,erc_panels
unics_cordis,erc_research_domains
unics_cordis,eu_territorial_units
unics_cordis,funding_schemes
unics_cordis,nuts_hierarchy
unics_cordis,people
unics_cordis,programmes
unics_cordis,project_erc_panels
unics_cordis,project_member_roles
unics_cordis,project_members
unics_cordis,project_programmes
unics_cordis,projects
unics_cordis,project_subject_areas
unics_cordis,project_topics
unics_cordis,subject_areas
unics_cordis,topics
